Date,Open,High,Low,Close,dir c,dir d
12/12/00,15.25,16.000001,15,15.375,1,0
12/13/00,15.562501,15.562501,14.875,15,0,0
12/14/00,15.0312,15.25,14.4375,14.4375,0,0
12/15/00,14.5625,14.687501,14,14.0625,0,0
12/18/00,14.5625,14.624999,13.9375,14.250001,0,0
12/19/00,14.375,15.25,14,14,1,1
12/20/00,13.7812,14.624999,13.625,14.375,0,0
12/21/00,14.250001,15,13.875,14.0625,1,1
12/22/00,14.125,15,14.125,15,0,1
12/26/00,14.875,15,14.250001,14.687501,0,1
12/27/00,14.343699,14.8125,14.187499,14.8125,0,0
12/28/00,14.375,14.9375,14.3125,14.8125,1,1
12/29/00,14.687501,15,14.5,14.875,1,1
1/2/01,14.875,15.25,14.5625,14.875,1,1
1/3/01,14.5,16.6875,14.4375,16.374999,1,0
1/4/01,18.1406,18.5,16.812499,17.0625,1,1
1/5/01,16.9375,17.375,16.0625,16.374999,0,0
1/8/01,16.9375,16.984301,15.937499,16.5625,0,0
1/9/01,16.812499,17.640601,16.5625,17.1875,1,1
1/10/01,16.6875,17,16.0625,16.5625,0,0
1/11/01,16.25,18.5,16.25,18,1,1
1/12/01,17.875,18,17.0625,17.1875,0,1
1/16/01,17.4375,18.25,17,17.125,1,0
1/17/01,17.5625,17.5625,16.5,16.812499,0,0
1/18/01,17.8125,18.75,17.625,18.6875,1,1
1/19/01,19.437499,19.5625,18.6875,19.500001,1,1
1/22/01,19.062501,19.625,18.4375,19.25,1,0
1/23/01,19.3125,20.9375,19.062501,20.5,1,1
1/24/01,20.625,20.6875,19.5625,20.5,0,1
1/25/01,20.5625,20.5625,19.75,19.937501,0,1
1/26/01,19.500001,19.8125,19.062501,19.5625,0,0
1/29/01,19.5625,21.75,19.5625,21.687501,1,1
1/30/01,21.5625,22,20.875,21.75,1,1
1/31/01,21.5,22.499999,21.4375,21.624999,1,1
2/1/01,20.6875,21.5,20.5,21.125,0,0
2/2/01,21.125,21.9375,20.5,20.625,1,0
2/5/01,20.5,20.5625,19.75,20.1875,0,0
2/6/01,20.156201,21.3906,20,21.125,1,1
2/7/01,20.6562,20.875,19.8125,20.749999,0,0
2/8/01,20.5625,21.0625,20.1875,20.749999,1,1
2/9/01,20.5,20.812501,18.6875,19.125,0,0
2/12/01,19.062501,20,18.8125,19.6875,0,1
2/13/01,19.937501,20.4375,18.999999,19.125,1,1
2/14/01,19.1875,19.625,18.5,19.500001,0,0
2/15/01,19.6875,20.5625,19.6875,20.0625,1,1
2/16/01,18.999999,19.500001,18.75,18.999999,0,0
2/20/01,19.1875,19.437499,18.187501,18.3125,0,0
2/21/01,18.25,19.937501,18.25,18.875,1,1
2/22/01,19.062501,19.375,18,18.8125,0,0
2/23/01,18.625001,18.875,18.25,18.8125,0,1
2/26/01,19.062501,19.6875,18.562499,19.500001,1,1
2/27/01,19.281201,19.437499,18.6875,19.375,0,1
2/28/01,19.375,19.437499,18.124999,18.25,0,0
3/1/01,17.8125,18.75,17.1875,18.75,0,0
3/2/01,18.3125,20.4375,18.25,19.25,1,1
3/5/01,19.375,20.5,19.25,20.375001,1,1
3/6/01,20.7187,22.062499,20.6875,21.5,1,1
3/7/01,21.3125,21.624999,20.749999,21.250001,0,1
3/8/01,20.6875,21.125,20.4375,20.812501,0,0
3/9/01,20.625,20.6875,20,20.25,0,0
3/12/01,19.6875,19.874999,18.124999,18.625001,0,0
3/13/01,18.875,19.5625,18.187501,19.5625,0,1
3/14/01,18.5,20.5,18.4375,20.4375,1,1
3/15/01,20.875,21.375,19.6875,19.6875,1,1
3/16/01,18.999999,20.312499,18.875,19.625,0,0
3/19/01,19.75,20.625,19.500001,20.5625,1,1
3/20/01,20.7187,20.9375,19.6875,19.6875,1,1
3/21/01,19.7812,20.875,19.375,20.125,0,0
3/22/01,20.375001,21.75,20.1875,21.624999,1,1
3/23/01,22.062499,23.5625,22,23.000001,1,1
3/26/01,23.13,23.75,21.13,21.779999,1,0
3/27/01,21.94,23.05,21.900001,22.869999,0,1
3/28/01,22.08,22.499999,21.5,22.17,0,0
3/29/01,21.769999,23.449999,21.5,22.53,1,0
3/30/01,22.55,22.719999,21.339999,22.069999,0,0
4/2/01,22.09,22.66,21.400001,21.59,0,1
4/3/01,21.36,21.400001,20.13,20.239999,0,0
4/4/01,19.76,20.25,18.75,19.500001,0,0
4/5/01,20.599999,22.499999,20,20.87,1,1
4/6/01,20.8,21.039999,19.9,20.590001,0,0
4/9/01,20.69,21.339999,20.06,20.539999,1,1
4/10/01,20.899999,22.700001,20.78,22.04,1,1
4/11/01,22.98,23.000001,21.28,21.8,1,1
4/12/01,21.42,23.02,21.15,22.420001,1,0
4/16/01,22.09,22.4,20.86,21.44,0,0
4/17/01,21.2,21.21,19.6,20.4,0,0
4/18/01,21.57,24.08,21.08,22.789999,1,1
4/19/01,25.550001,25.75,23.599999,25.72,1,1
4/20/01,24.93,25.630001,24.600001,25.040001,0,1
4/23/01,24.34,25,24,24.249999,0,0
4/24/01,24.329999,24.750001,23.510001,24.029999,0,0
4/25/01,24.21,24.86,23.57,24.72,1,1
4/26/01,25.17,26.1,24.680001,24.689999,1,1
4/27/01,25.199999,26.289999,24.750001,26.200001,1,1
4/30/01,26.7,27.12,24.87,25.489999,1,1
5/1/01,25.410001,26.500001,25.199999,25.929999,0,1
5/2/01,26.34,26.7,25.76,26.589999,1,1
5/3/01,25.97,26.25,24.73,24.960001,0,0
5/4/01,24.240001,25.849999,23.959999,25.75,0,0
5/7/01,25.620001,25.76,24.839999,24.960001,0,1
5/8/01,25.349999,25.45,23.950001,24.57,0,0
5/9/01,24.14,24.549999,23.669999,23.98,0,0
5/10/01,24.21,24.5,22.95,23.000001,0,0
5/11/01,23.009999,23.49,22.76,22.850001,0,0
5/14/01,22.89,23.68,22.75,23.290001,1,0
5/15/01,23.369999,25.5,23.04,23.18,1,1
5/16/01,23.26,24.5,22.850001,24.099999,0,0
5/17/01,24.23,24.329999,23.25,23.55,0,1
5/18/01,23.360001,23.64,23.12,23.529999,0,0
5/21/01,23.63,23.91,23.05,23.56,1,0
5/22/01,24,24.13,23.4,23.5,1,1
5/23/01,23.75,23.75,22.859999,23.229999,0,0
5/24/01,23.290001,23.299999,22.62,23.2,0,0
5/25/01,23.2,23.290001,22.499999,22.76,0,0
5/29/01,22.32,22.499999,20.810001,21.470001,0,0
5/30/01,20.76,20.76,19.299999,19.78,0,0
5/31/01,19.799999,20.239999,19.49,19.949999,0,1
6/1/01,20.13,21.09,19.98,20.890001,1,1
6/4/01,21.08,21.109999,20.459999,20.660001,1,1
6/5/01,20.8,21.100001,20.35,20.94,0,0
6/6/01,20.93,20.93,20.33,20.73,0,0
6/7/01,20.71,21.699999,20.450001,21.66,1,1
6/8/01,21.65,21.65,20.71,21.320001,0,1
6/11/01,21.049999,21.07,19.949999,20.04,0,0
6/12/01,19.77,20.69,19.76,20.309999,0,0
6/13/01,21.42,21.73,20.06,20.47,1,1
6/14/01,20.04,20.450001,19.77,19.879999,0,0
6/15/01,20.099999,20.749999,19.350001,20.440001,1,0
6/18/01,20.41,20.85,20,20.33,1,1
6/19/01,20.85,21.400001,20.010001,20.19,1,1
6/20/01,20,21.849999,19.98,21.67,1,0
6/21/01,21.549999,23.000001,21.100001,22.490001,1,1
6/22/01,22.48,23.000001,21.760001,22.26,0,1
6/25/01,22.499999,24,22.45,23.99,1,1
6/26/01,23.34,23.77,23.009999,23.75,0,1
6/27/01,23.83,24,22.499999,23.34,1,0
6/28/01,23.05,23.91,22.939999,23.54,0,1
6/29/01,23.660001,25.1,23.2,23.25,1,1
7/2/01,23.64,24.23,23.140001,23.9,0,0
7/3/01,23.510001,24.179999,23.5,23.84,0,1
7/5/01,23.599999,23.77,23.009999,23.19,0,0
7/6/01,22.76,22.96,21.72,22.03,0,0
7/9/01,22.09,23.000001,21.680001,22.700001,1,0
7/10/01,22.95,23.070001,20.84,21.14,1,0
7/11/01,21.030001,22.55,21,22.54,0,1
7/12/01,23.299999,24.81,23.299999,24.36,1,1
7/13/01,24.13,25.01,23.84,24.85,1,1
7/16/01,24.88,25.1,23.91,23.959999,1,1
7/17/01,23.98,25.22,23.009999,25.1,1,0
7/18/01,21.779999,22.780001,20.42,20.79,0,0
7/19/01,21.23,21.42,19.75,19.96,0,0
7/20/01,19.7,20.06,19.49,19.98,0,0
7/23/01,20.089999,20.5,19.509999,19.54,1,1
7/24/01,19.39,19.92,18.73,19.09,0,0
7/25/01,19.12,19.299999,17.970001,18.470001,0,0
7/26/01,18.480001,18.8,17.85,18.59,0,0
7/27/01,18.75,19.25,18.5,18.96,1,1
7/30/01,19.12,19.359999,18.51,18.929999,1,1
7/31/01,19.27,19.420001,18.51,18.789999,1,0
8/1/01,19.01,19.78,18.95,19.060001,1,1
8/2/01,19.650001,19.869999,19.26,19.82,1,1
8/3/01,19.89,19.9,18.999999,19.500001,1,0
8/6/01,19.04,19.659999,18.999999,19.130001,0,0
8/7/01,19.33,19.67,18.98,19.25,1,0
8/8/01,19.26,19.7,18.54,18.9,1,0
8/9/01,18.96,19.149999,18.72,19.05,0,1
8/10/01,19.04,19.32,18.59,19.02,1,0
8/13/01,19.1,19.33,18.76,19.09,1,1
8/14/01,19.200001,19.359999,18.67,18.73,1,0
8/15/01,18.76,18.94,18.199999,18.44,0,0
8/16/01,18.269999,18.75,17.970001,18.65,0,0
8/17/01,18,18.45,17.99,18.07,0,1
8/20/01,18.14,18.23,17.81,18.119999,0,0
8/21/01,18.14,18.14,17.7,17.92,0,0
8/22/01,17.94,18.25,17.609999,18.21,1,0
8/23/01,18.199999,18.339999,17.58,17.81,1,0
8/24/01,18,18.620001,17.65,18.569999,1,1
8/27/01,18.6,19.299999,18.16,18.920001,1,1
8/28/01,18.9,19.140001,18.400001,18.400001,0,1
8/29/01,18.44,18.83,17.829999,17.829999,0,0
8/30/01,17.74,18.180001,17.28,17.829999,0,0
8/31/01,17.73,18.6,17.65,18.550001,1,1
9/4/01,18.5,19.079999,18.180001,18.25,1,1
9/5/01,18.24,18.95,18.119999,18.550001,0,0
9/6/01,18.400001,18.929999,17.65,17.72,0,0
9/7/01,17.5,18.1,17.2,17.28,0,0
9/10/01,17,17.5,16.92,17.37,0,0
9/17/01,16.000001,17.07,15.73,16.99,0,0
9/18/01,16.9,17.72,16.17,16.28,1,1
9/19/01,16.5,17.099999,15.6,17.020001,0,0
9/20/01,16.290001,16.950001,15.499999,15.68,0,0
9/21/01,14.8,16.25,14.680001,15.73,0,0
9/24/01,16.11,16.84,15.95,16.449999,1,1
9/25/01,16.140001,16.220001,15.349999,15.54,0,0
9/26/01,15.81,15.89,14.93,15.15,0,0
9/27/01,15.25,15.75,15.200001,15.51,0,1
9/28/01,15.710001,15.91,15.39,15.51,1,1
10/1/01,15.490001,15.99,15.23,15.54,1,0
10/2/01,15.429999,15.83,14.88,15.050001,0,0
10/3/01,14.95,15.359999,14.830001,14.980001,0,0
10/4/01,15.349999,16.25,14.989999,15.88,1,1
10/5/01,15.4,16.150001,14.989999,16.140001,0,0
10/8/01,15.569999,16.35,15.499999,16.2,1,1
10/9/01,16.05,16.2,15.630001,16.000001,0,1
10/10/01,16.1,16.85,15.95,16.819999,1,1
10/11/01,16.92,17.74,16.85,17.74,1,1
10/12/01,17.310001,18.08,16.86,18.01,1,1
10/15/01,17.95,18.38,17.95,17.99,1,1
10/16/01,18.09,18.199999,17.77,18.01,0,0
10/17/01,18.339999,18.410001,16.959999,16.99,1,0
10/18/01,17.29,18.23,17.29,18,0,1
10/19/01,17.94,18.400001,17.88,18.3,1,1
10/22/01,18.21,19.069999,18.09,19.02,1,1
10/23/01,19.12,19.420001,17.87,18.14,1,0
10/24/01,18.059999,19.09,17.750001,18.95,0,0
10/25/01,18.44,19.25,18.16,19.19,1,1
10/26/01,18.859999,19.25,18.620001,18.67,0,1
10/29/01,18.569999,18.67,17.600001,17.63,0,0
10/30/01,17.380001,18,17.06,17.600001,0,0
10/31/01,17.73,18.400001,17.44,17.56,1,1
11/1/01,17.65,18.779999,17.249999,18.59,1,0
11/2/01,18.52,18.859999,18.16,18.569999,1,1
11/5/01,18.840001,19.25,18.61,19.069999,1,1
11/6/01,18.96,19.62,18.53,19.570001,1,0
11/7/01,19.46,20.13,19.33,19.589999,1,1
11/8/01,19.63,19.89,18.569999,18.709999,0,0
11/9/01,18.6,19.25,18.550001,18.709999,0,0
11/12/01,18.66,19.17,17.960001,18.75,0,0
11/13/01,19.079999,19.39,18.709999,19.369999,1,1
11/14/01,19.589999,19.9,19.149999,19.61,1,1
11/15/01,19.45,19.9,19.23,19.45,0,1
11/16/01,19.27,19.289999,18.400001,18.97,0,0
11/19/01,18.999999,20.05,18.96,20,1,1
11/20/01,19.82,20.2,19.500001,19.53,1,1
11/21/01,19.61,19.799999,19.26,19.68,0,0
11/23/01,19.710001,19.949999,19.570001,19.84,1,1
11/26/01,19.940001,21.549999,19.879999,21.37,1,1
11/27/01,21.2,21.52,20.5,21,0,1
11/28/01,20.85,21.21,20.41,20.529999,0,0
11/29/01,20.599999,20.7,20.19,20.42,0,0
11/30/01,20.47,21.44,20.25,21.3,1,1
12/3/01,21.06,21.28,20.599999,21.049999,0,1
12/4/01,21.049999,22.560001,20.72,22.4,1,1
12/5/01,22.359999,24.029999,22.17,23.76,1,1
12/6/01,23.48,23.5,22.139999,22.780001,0,0
12/7/01,22.46,22.710001,22,22.54,0,0
12/10/01,22.289999,22.99,22.23,22.54,1,1
12/11/01,22.67,22.850001,21.65,21.779999,0,0
12/12/01,21.87,21.919999,21.250001,21.49,0,0
12/13/01,21.49,21.549999,20.5,21,0,0
12/14/01,20.73,20.829999,20.089999,20.389999,0,0
12/17/01,20.4,21,20.19,20.62,1,1
12/18/01,20.890001,21.329999,20.220001,21.01,1,1
12/19/01,20.58,21.680001,20.47,21.619999,1,1
12/20/01,21.400001,21.470001,20.62,20.670001,0,1
12/21/01,21.01,21.540001,20.8,21,1,1
12/24/01,20.899999,21.45,20.899999,21.36,0,1
12/26/01,21.35,22.3,21.14,21.49,1,1
12/27/01,21.58,22.25,21.58,22.069999,0,1
12/28/01,21.970001,23.000001,21.96,22.429999,1,1
12/31/01,22.51,22.66,21.830001,21.900001,0,0
1/2/02,22.050001,23.299999,21.96,23.299999,1,1
1/3/02,23.000001,23.75,22.77,23.580001,1,1
1/4/02,23.34,23.950001,22.99,23.69,1,1
1/7/02,23.720001,24,22.75,22.9,1,0
1/8/02,22.75,23.05,22.46,22.61,0,0
1/9/02,22.799999,22.930001,21.28,21.65,0,0
1/10/02,21.22,21.460001,20.25,21.23,0,0
1/11/02,21.390001,21.839999,20.599999,21.049999,1,1
1/14/02,21.01,21.400001,20.899999,21.15,0,1
1/15/02,21.320001,21.760001,21.21,21.699999,1,1
1/16/02,21.409999,21.409999,20.5,20.78,0,0
1/17/02,21.96,22.74,21.87,22.48,1,1
1/18/02,22,22.6,21.96,22.17,0,1
1/22/02,22.270001,22.37,21.82,21.82,0,0
1/23/02,21.8,23.04,21.59,23.02,1,0
1/24/02,22.91,23.510001,22.9,23.210001,1,1
1/25/02,22.89,23.42,22.66,23.25,0,0
1/28/02,23.4,23.55,22.719999,23.27,1,1
1/29/02,23.220001,23.54,22.850001,23.070001,0,1
1/30/02,23.070001,24.14,22.939999,24.090001,1,1
1/31/02,24.160001,24.73,24.109999,24.72,1,1
2/1/02,24.34,24.960001,24.34,24.41,1,1
2/4/02,24.319999,25.52,24.2,25.349999,1,0
2/5/02,25.09,25.98,25.08,25.45,1,1
2/6/02,25.6,25.98,24.15,24.670001,0,0
2/7/02,24.65,25.29,24.08,24.3,0,0
2/8/02,24.399999,24.64,23.369999,24.029999,0,0
2/11/02,23.93,25,23.739999,24.979999,1,1
2/12/02,24.66,25.040001,24.450001,24.71,1,1
2/13/02,24.73,25.24,24.65,25.01,1,1
2/14/02,25.049999,25.23,24.380001,24.600001,0,0
2/15/02,24.530001,24.979999,23.85,23.9,0,0
2/19/02,23.76,23.870001,22.48,22.62,0,0
2/20/02,22.77,23.2,22.349999,23.13,0,0
2/21/02,22.920001,23.000001,21.45,21.5,0,0
2/22/02,21.66,22.95,21.5,22.74,0,1
2/25/02,22.850001,24.72,22.359999,23.809999,1,1
2/26/02,23.91,24.37,23.25,23.669999,0,1
2/27/02,23.940001,24.249999,20.94,21.96,0,0
2/28/02,22.15,22.59,21.35,21.699999,0,1
3/1/02,21.93,23.5,21.82,23.449999,1,1
3/4/02,23.26,24.58,22.76,24.29,1,1
3/5/02,24.15,24.43,23.4,23.529999,0,1
3/6/02,23.48,24.34,22.930001,24.07,0,0
3/7/02,24.06,24.530001,23.61,24.380001,1,1
3/8/02,24.74,25.09,24.3,24.66,1,1
3/11/02,24.600001,25.14,24.099999,25.059999,1,0
3/12/02,24.51,24.74,24.099999,24.72,0,0
3/13/02,24.37,24.85,24.15,24.49,1,1
3/14/02,24.3,24.600001,23.870001,24.43,0,0
3/15/02,24.460001,24.960001,24.249999,24.95,1,1
3/18/02,24.95,25.049999,24.319999,24.74,1,1
3/19/02,24.689999,25.3,24.3,24.85,1,0
3/20/02,24.66,25.14,24.5,24.92,0,1
3/21/02,23.86,24.3,23.26,24.27,0,0
3/22/02,24.22,24.56,23.870001,24.090001,1,1
3/25/02,24.07,24.090001,23.24,23.35,0,0
3/26/02,23.2,23.64,23.000001,23.46,0,0
3/27/02,23.35,23.720001,23.26,23.47,1,1
3/28/02,23.7,23.880001,23.46,23.669999,1,1
4/1/02,23.379999,24.7,23.28,24.460001,1,0
4/2/02,24,24.3,23.870001,24.07,0,1
4/3/02,24.05,24.49,23.599999,23.75,1,0
4/4/02,23.669999,25.049999,23.669999,24.900001,1,1
4/5/02,24.95,25.190001,24.099999,24.74,1,1
4/8/02,24.160001,24.680001,23.78,24.56,0,0
4/9/02,24.59,25,24.01,24.099999,1,1
4/10/02,24.21,24.95,24.01,24.66,0,0
4/11/02,25.03,25.199999,24.750001,24.86,1,1
4/12/02,25.01,25.17,24.57,25.059999,0,0
4/15/02,25.059999,25.15,24.8,25,0,1
4/16/02,25.15,25.990001,25.119999,25.74,1,1
4/17/02,25.929999,26.17,25.38,26.11,1,1
4/18/02,25.5,25.52,24.88,25.410001,0,0
4/19/02,25.489999,25.489999,24.93,24.979999,0,1
4/22/02,24.839999,24.93,24.23,24.530001,0,0
4/23/02,24.539999,24.78,24.090001,24.249999,0,0
4/24/02,24.3,24.5,23.68,23.77,0,0
4/25/02,23.56,24.34,23.55,24.12,0,0
4/26/02,24.28,24.37,23.000001,23.009999,1,0
4/29/02,23.159999,24.06,23.089999,23.959999,0,1
4/30/02,23.889999,24.380001,23.75,24.27,1,1
5/1/02,24.29,24.29,23.360001,23.98,0,0
5/2/02,23.809999,24.34,23.599999,23.69,1,1
5/3/02,23.57,24.020001,23.430001,23.510001,0,0
5/6/02,23.35,23.5,22.46,22.649999,0,0
5/7/02,22.939999,22.95,22.139999,22.47,0,0
5/8/02,23.2,24.52,23.04,24.37,1,1
5/9/02,24.249999,24.35,23.800001,24.19,0,1
5/10/02,24.29,24.29,22.98,23.32,0,0
5/13/02,23.519999,24.090001,22.939999,23.940001,0,0
5/14/02,24.450001,25.68,24.22,25.61,1,1
5/15/02,25.37,25.98,24.839999,25.279999,1,1
5/16/02,25.059999,25.45,24.750001,25.21,0,0
5/17/02,25.489999,25.779999,24.609999,25.01,1,0
5/20/02,24.57,24.93,24.530001,24.74,0,0
5/21/02,24.829999,25,23.4,23.46,1,0
5/22/02,23.369999,24.37,23.32,24.319999,0,0
5/23/02,24.450001,25.24,24.07,25.180001,1,1
